GESTION;MES;NANDINA;DESNAN;PAIS;DESPAIS;TNT;KILBRU;KILNET;FINUNI;VALOR
2021;1;7113190000;ARTICULOS DE JOYERIA DE LOS DEMAS METALES PRECIOSOS,INCLUSO REVESTIDOS O CHAPADOS DE METAL PRECIOSO (PLAQUE);249;ESTADOS UNIDOS;21;3,00;1,05;1,05;31710,50
2021;2;7113190000;ARTICULOS DE JOYERIA DE LOS DEMAS METALES PRECIOSOS,INCLUSO REVESTIDOS O CHAPADOS DE METAL PRECIOSO (PLAQUE);249;ESTADOS UNIDOS;21;4,00;2,00;2,00;69462,30
2021;3;7113190000;ARTICULOS DE JOYERIA DE LOS DEMAS METALES PRECIOSOS,INCLUSO REVESTIDOS O CHAPADOS DE METAL PRECIOSO (PLAQUE);249;ESTADOS UNIDOS;21;7,70;4,77;4,77;165384,28
2021;4;7113190000;ARTICULOS DE JOYERIA DE LOS DEMAS METALES PRECIOSOS,INCLUSO REVESTIDOS O CHAPADOS DE METAL PRECIOSO (PLAQUE);249;ESTADOS UNIDOS;21;4,00;1,68;1,68;56242,50
2021;5;7113190000;ARTICULOS DE JOYERIA DE LOS DEMAS METALES PRECIOSOS,INCLUSO REVESTIDOS O CHAPADOS DE METAL PRECIOSO (PLAQUE);249;ESTADOS UNIDOS;21;6,00;2,10;2,10;66977,33
2021;6;7113110000;ARTICULOS DE JOYERIA DE PLATA,INCLUSO REVESTIDA O CHAPADA DE OTRO METAL PRECIOSO (PLAQUE);249;ESTADOS UNIDOS;34;4,49;2,88;2,88;6875,50
2021;6;7113190000;ARTICULOS DE JOYERIA DE LOS DEMAS METALES PRECIOSOS,INCLUSO REVESTIDOS O CHAPADOS DE METAL PRECIOSO (PLAQUE);249;ESTADOS UNIDOS;21;6,00;1,08;1,08;43771,30
2021;7;7113190000;ARTICULOS DE JOYERIA DE LOS DEMAS METALES PRECIOSOS,INCLUSO REVESTIDOS O CHAPADOS DE METAL PRECIOSO (PLAQUE);249;ESTADOS UNIDOS;21;4,00;1,39;1,39;37593,48
2021;8;7113190000;ARTICULOS DE JOYERIA DE LOS DEMAS METALES PRECIOSOS,INCLUSO REVESTIDOS O CHAPADOS DE METAL PRECIOSO (PLAQUE);249;ESTADOS UNIDOS;21;2,00;0,54;0,54;16234,80
2021;9;7113190000;ARTICULOS DE JOYERIA DE LOS DEMAS METALES PRECIOSOS,INCLUSO REVESTIDOS O CHAPADOS DE METAL PRECIOSO (PLAQUE);249;ESTADOS UNIDOS;21;1,00;0,30;0,30;7893,36
2021;10;7113190000;ARTICULOS DE JOYERIA DE LOS DEMAS METALES PRECIOSOS,INCLUSO REVESTIDOS O CHAPADOS DE METAL PRECIOSO (PLAQUE);249;ESTADOS UNIDOS;21;5,00;1,46;1,46;55798,43
2021;11;7113190000;ARTICULOS DE JOYERIA DE LOS DEMAS METALES PRECIOSOS,INCLUSO REVESTIDOS O CHAPADOS DE METAL PRECIOSO (PLAQUE);249;ESTADOS UNIDOS;21;2,50;0,69;0,69;27801,20
